FIPS,2014 RPL_THEME3,2015 RPL_THEME3,2016 RPL_THEME3,2017 RPL_THEME3,2018 RPL_THEME3,2019 RPL_THEME3,2020 RPL_THEME3
05087,47.66,50.62,53.58,53.07,52.56,44.8,37.05
05089,8.69,8.82,8.95,7.34,5.73,11.14,16.55
05091,35.85,39.14,42.44,40.18,37.92,54.29,70.66
05093,62.97,66.16,69.34,72.86,76.38,78.94,81.51
05095,48.14,52.31,56.48,51.77,47.06,66.21,85.36
05097,30.66,34.45,38.24,42.01,45.78,37.34,28.9
05099,46.39,41.39,36.39,37.04,37.7,57.2,76.7
05101,6.05,5.42,4.78,5.46,6.14,13.3,20.46
05103,65.84,67.32,68.8,59.79,50.78,67.61,84.44
05105,15.25,12.53,9.81,10.11,10.41,18.72,27.02
05107,66.86,65.12,63.39,60.08,56.77,75.77,94.78
05109,60.2,60.7,61.19,60.0,58.8,50.62,42.43
05111,28.75,27.7,26.65,28.59,30.53,37.1,43.67
05113,49.16,51.5,53.84,52.9,51.96,46.01,40.07
05115,63.74,65.4,67.05,67.08,67.11,57.82,48.54
05117,20.41,20.26,20.12,20.93,21.74,34.28,46.82
05119,83.83,84.0,84.18,84.5,84.81,85.74,86.66
05121,5.13,5.24,5.35,16.2,27.06,25.21,23.36
05123,83.7,84.43,85.16,74.72,64.28,78.45,92.62
05125,44.86,48.5,52.15,53.7,55.24,52.19,49.14
05127,61.76,62.14,62.53,55.65,48.77,48.27,47.77
05129,13.98,15.58,17.19,18.88,20.57,25.12,29.66
05131,83.29,83.19,83.09,83.3,83.51,76.44,69.38
05133,93.41,93.34,93.28,93.44,93.6,87.78,81.95
05135,33.62,29.14,24.67,17.62,10.57,17.83,25.08
05137,11.24,12.18,13.12,10.32,7.51,14.36,21.2
05139,69.31,68.64,67.97,68.66,69.34,74.06,78.77
05141,29.26,22.43,15.6,13.23,10.86,16.17,21.48
05143,84.59,84.3,84.02,83.75,83.48,76.24,69.0
05145,41.8,44.56,47.31,48.52,49.73,44.09,38.45
05147,32.66,32.34,32.03,32.75,33.46,51.04,68.62
05149,82.52,83.19,83.86,83.59,83.32,72.91,62.51
06001,98.15,98.14,98.12,98.09,98.06,97.14,96.21
06003,78.41,73.12,67.84,64.37,60.9,73.88,86.86
06005,66.03,66.66,67.3,64.61,61.92,60.84,59.77
